单元前缀,数量,含义,完整 metric 名
,,,l1tex__t_requests_pipe_lsu.avg.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.avg.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu.avg.per_cycle_active
,,,l1tex__t_requests_pipe_lsu.avg.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu.avg.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu.avg.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu.avg.per_second
,,,l1tex__t_requests_pipe_lsu.max
,,,l1tex__t_requests_pipe_lsu.max.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu.max.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu.max.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu.max.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.max.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu.max.per_cycle_active
,,,l1tex__t_requests_pipe_lsu.max.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu.max.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu.max.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu.max.per_second
,,,l1tex__t_requests_pipe_lsu.min
,,,l1tex__t_requests_pipe_lsu.min.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu.min.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu.min.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu.min.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.min.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu.min.per_cycle_active
,,,l1tex__t_requests_pipe_lsu.min.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu.min.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu.min.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu.min.per_second
,,,l1tex__t_requests_pipe_lsu.sum
,,,l1tex__t_requests_pipe_lsu.sum.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu.sum.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu.sum.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu.sum.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu.sum.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu.sum.per_cycle_active
,,,l1tex__t_requests_pipe_lsu.sum.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu.sum.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu.sum.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu.sum.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.avg.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.max.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.min.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.max.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.min.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.avg.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.max.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.min.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.peak_sustained_region.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.per_cycle_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.per_cycle_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.per_cycle_in_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.per_cycle_in_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.avg.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.pct_of_peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.pct_of_peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.pct_of_peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.pct_of_peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_active
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_active.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_elapsed
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_elapsed.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_frame
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_frame.per_second
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_region
,,,l1tex__t_requests_pipe_lsu_mem_global_op_st.max.peak_sustained_region.per_second
