单元前缀,数量,含义,完整 metric 名
,,,dram__bytes_read.min.per_cycle_in_frame
,,,dram__bytes_read.min.per_cycle_in_region
,,,dram__bytes_read.min.per_second
,,,dram__bytes_read.sum
,,,dram__bytes_read.sum.pct_of_peak_sustained_active
,,,dram__bytes_read.sum.pct_of_peak_sustained_elapsed
,,,dram__bytes_read.sum.pct_of_peak_sustained_frame
,,,dram__bytes_read.sum.pct_of_peak_sustained_region
,,,dram__bytes_read.sum.peak_sustained
,,,dram__bytes_read.sum.peak_sustained_active
,,,dram__bytes_read.sum.peak_sustained_active.per_second
,,,dram__bytes_read.sum.peak_sustained_elapsed
,,,dram__bytes_read.sum.peak_sustained_elapsed.per_second
,,,dram__bytes_read.sum.peak_sustained_frame
,,,dram__bytes_read.sum.peak_sustained_frame.per_second
,,,dram__bytes_read.sum.peak_sustained_region
,,,dram__bytes_read.sum.peak_sustained_region.per_second
,,,dram__bytes_read.sum.per_cycle_active
,,,dram__bytes_read.sum.per_cycle_elapsed
,,,dram__bytes_read.sum.per_cycle_in_frame
,,,dram__bytes_read.sum.per_cycle_in_region
,,,dram__bytes_read.sum.per_second
,,,dram__bytes_write.avg
,,,dram__bytes_write.avg.pct_of_peak_sustained_active
,,,dram__bytes_write.avg.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.avg.pct_of_peak_sustained_frame
,,,dram__bytes_write.avg.pct_of_peak_sustained_region
,,,dram__bytes_write.avg.peak_sustained
,,,dram__bytes_write.avg.peak_sustained_active
,,,dram__bytes_write.avg.peak_sustained_active.per_second
,,,dram__bytes_write.avg.peak_sustained_elapsed
,,,dram__bytes_write.avg.peak_sustained_elapsed.per_second
,,,dram__bytes_write.avg.peak_sustained_frame
,,,dram__bytes_write.avg.peak_sustained_frame.per_second
,,,dram__bytes_write.avg.peak_sustained_region
,,,dram__bytes_write.avg.peak_sustained_region.per_second
,,,dram__bytes_write.avg.per_cycle_active
,,,dram__bytes_write.avg.per_cycle_elapsed
,,,dram__bytes_write.avg.per_cycle_in_frame
,,,dram__bytes_write.avg.per_cycle_in_region
,,,dram__bytes_write.avg.per_second
,,,dram__bytes_write.max
,,,dram__bytes_write.max.pct_of_peak_sustained_active
,,,dram__bytes_write.max.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.max.pct_of_peak_sustained_frame
,,,dram__bytes_write.max.pct_of_peak_sustained_region
,,,dram__bytes_write.max.peak_sustained
,,,dram__bytes_write.max.peak_sustained_active
,,,dram__bytes_write.max.peak_sustained_active.per_second
,,,dram__bytes_write.max.peak_sustained_elapsed
,,,dram__bytes_write.max.peak_sustained_elapsed.per_second
,,,dram__bytes_write.max.peak_sustained_frame
,,,dram__bytes_write.max.peak_sustained_frame.per_second
,,,dram__bytes_write.max.peak_sustained_region
,,,dram__bytes_write.max.peak_sustained_region.per_second
,,,dram__bytes_write.max.per_cycle_active
,,,dram__bytes_write.max.per_cycle_elapsed
,,,dram__bytes_write.max.per_cycle_in_frame
,,,dram__bytes_write.max.per_cycle_in_region
,,,dram__bytes_write.max.per_second
,,,dram__bytes_write.min
,,,dram__bytes_write.min.pct_of_peak_sustained_active
,,,dram__bytes_write.min.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.min.pct_of_peak_sustained_frame
,,,dram__bytes_write.min.pct_of_peak_sustained_region
,,,dram__bytes_write.min.peak_sustained
,,,dram__bytes_write.min.peak_sustained_active
,,,dram__bytes_write.min.peak_sustained_active.per_second
,,,dram__bytes_write.min.peak_sustained_elapsed
,,,dram__bytes_write.min.peak_sustained_elapsed.per_second
,,,dram__bytes_write.min.peak_sustained_frame
,,,dram__bytes_write.min.peak_sustained_frame.per_second
,,,dram__bytes_write.min.peak_sustained_region
,,,dram__bytes_write.min.peak_sustained_region.per_second
,,,dram__bytes_write.min.per_cycle_active
,,,dram__bytes_write.min.per_cycle_elapsed
,,,dram__bytes_write.min.per_cycle_in_frame
,,,dram__bytes_write.min.per_cycle_in_region
,,,dram__bytes_write.min.per_second
,,,dram__bytes_write.sum
,,,dram__bytes_write.sum.pct_of_peak_sustained_active
,,,dram__bytes_write.sum.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.sum.pct_of_peak_sustained_frame
,,,dram__bytes_write.sum.pct_of_peak_sustained_region
,,,dram__bytes_write.sum.peak_sustained
,,,dram__bytes_write.sum.peak_sustained_active
,,,dram__bytes_write.sum.peak_sustained_active.per_second
,,,dram__bytes_write.sum.peak_sustained_elapsed
,,,dram__bytes_write.sum.peak_sustained_elapsed.per_second
,,,dram__bytes_write.sum.peak_sustained_frame
,,,dram__bytes_write.sum.peak_sustained_frame.per_second
,,,dram__bytes_write.sum.peak_sustained_region
,,,dram__bytes_write.sum.peak_sustained_region.per_second
,,,dram__bytes_write.sum.per_cycle_active
,,,dram__bytes_write.sum.per_cycle_elapsed
,,,dram__bytes_write.sum.per_cycle_in_frame
,,,dram__bytes_write.sum.per_cycle_in_region
,,,dram__bytes_write.sum.per_second
,,,dram__cycles_active.avg
,,,dram__cycles_active.avg.pct_of_peak_sustained_active
,,,dram__cycles_active.avg.pct_of_peak_sustained_elapsed
,,,dram__cycles_active.avg.pct_of_peak_sustained_frame
,,,dram__cycles_active.avg.pct_of_peak_sustained_region
,,,dram__cycles_active.avg.peak_sustained
,,,dram__cycles_active.avg.peak_sustained_active
,,,dram__cycles_active.avg.peak_sustained_active.per_second
,,,dram__cycles_active.avg.peak_sustained_elapsed
,,,dram__cycles_active.avg.peak_sustained_elapsed.per_second
,,,dram__cycles_active.avg.peak_sustained_frame
,,,dram__cycles_active.avg.peak_sustained_frame.per_second
,,,dram__cycles_active.avg.peak_sustained_region
,,,dram__cycles_active.avg.peak_sustained_region.per_second
,,,dram__cycles_active.avg.per_cycle_active
,,,dram__cycles_active.avg.per_cycle_elapsed
,,,dram__cycles_active.avg.per_cycle_in_frame
,,,dram__cycles_active.avg.per_cycle_in_region
,,,dram__cycles_active.avg.per_second
,,,dram__cycles_active.max
,,,dram__cycles_active.max.pct_of_peak_sustained_active
,,,dram__cycles_active.max.pct_of_peak_sustained_elapsed
,,,dram__cycles_active.max.pct_of_peak_sustained_frame
,,,dram__cycles_active.max.pct_of_peak_sustained_region
,,,dram__cycles_active.max.peak_sustained
,,,dram__cycles_active.max.peak_sustained_active
,,,dram__cycles_active.max.peak_sustained_active.per_second
,,,dram__cycles_active.max.peak_sustained_elapsed
,,,dram__cycles_active.max.peak_sustained_elapsed.per_second
,,,dram__cycles_active.max.peak_sustained_frame
,,,dram__cycles_active.max.peak_sustained_frame.per_second
,,,dram__cycles_active.max.peak_sustained_region
,,,dram__cycles_active.max.peak_sustained_region.per_second
,,,dram__cycles_active.max.per_cycle_active
,,,dram__cycles_active.max.per_cycle_elapsed
,,,dram__cycles_active.max.per_cycle_in_frame
,,,dram__cycles_active.max.per_cycle_in_region
,,,dram__cycles_active.max.per_second
,,,dram__cycles_active.min
,,,dram__cycles_active.min.pct_of_peak_sustained_active
,,,dram__cycles_active.min.pct_of_peak_sustained_elapsed
,,,dram__cycles_active.min.pct_of_peak_sustained_frame
,,,dram__cycles_active.min.pct_of_peak_sustained_region
,,,dram__cycles_active.min.peak_sustained
,,,dram__cycles_active.min.peak_sustained_active
,,,dram__cycles_active.min.peak_sustained_active.per_second
,,,dram__cycles_active.min.peak_sustained_elapsed
,,,dram__cycles_active.min.peak_sustained_elapsed.per_second
,,,dram__cycles_active.min.peak_sustained_frame
,,,dram__cycles_active.min.peak_sustained_frame.per_second
,,,dram__cycles_active.min.peak_sustained_region
,,,dram__cycles_active.min.peak_sustained_region.per_second
,,,dram__cycles_active.min.per_cycle_active
,,,dram__cycles_active.min.per_cycle_elapsed
,,,dram__cycles_active.min.per_cycle_in_frame
,,,dram__cycles_active.min.per_cycle_in_region
,,,dram__cycles_active.min.per_second
,,,dram__cycles_active.sum
,,,dram__cycles_active.sum.pct_of_peak_sustained_active
,,,dram__cycles_active.sum.pct_of_peak_sustained_elapsed
,,,dram__cycles_active.sum.pct_of_peak_sustained_frame
,,,dram__cycles_active.sum.pct_of_peak_sustained_region
,,,dram__cycles_active.sum.peak_sustained
,,,dram__cycles_active.sum.peak_sustained_active
,,,dram__cycles_active.sum.peak_sustained_active.per_second
,,,dram__cycles_active.sum.peak_sustained_elapsed
,,,dram__cycles_active.sum.peak_sustained_elapsed.per_second
,,,dram__cycles_active.sum.peak_sustained_frame
,,,dram__cycles_active.sum.peak_sustained_frame.per_second
,,,dram__cycles_active.sum.peak_sustained_region
,,,dram__cycles_active.sum.peak_sustained_region.per_second
,,,dram__cycles_active.sum.per_cycle_active
,,,dram__cycles_active.sum.per_cycle_elapsed
,,,dram__cycles_active.sum.per_cycle_in_frame
,,,dram__cycles_active.sum.per_cycle_in_region
,,,dram__cycles_active.sum.per_second
,,,dram__cycles_active_read.avg
,,,dram__cycles_active_read.avg.pct_of_peak_sustained_active
,,,dram__cycles_active_read.avg.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_read.avg.pct_of_peak_sustained_frame
,,,dram__cycles_active_read.avg.pct_of_peak_sustained_region
,,,dram__cycles_active_read.avg.peak_sustained
,,,dram__cycles_active_read.avg.peak_sustained_active
,,,dram__cycles_active_read.avg.peak_sustained_active.per_second
,,,dram__cycles_active_read.avg.peak_sustained_elapsed
,,,dram__cycles_active_read.avg.peak_sustained_elapsed.per_second
,,,dram__cycles_active_read.avg.peak_sustained_frame
,,,dram__cycles_active_read.avg.peak_sustained_frame.per_second
,,,dram__cycles_active_read.avg.peak_sustained_region
,,,dram__cycles_active_read.avg.peak_sustained_region.per_second
,,,dram__cycles_active_read.avg.per_cycle_active
,,,dram__cycles_active_read.avg.per_cycle_elapsed
,,,dram__cycles_active_read.avg.per_cycle_in_frame
,,,dram__cycles_active_read.avg.per_cycle_in_region
,,,dram__cycles_active_read.avg.per_second
,,,dram__cycles_active_read.max
,,,dram__cycles_active_read.max.pct_of_peak_sustained_active
,,,dram__cycles_active_read.max.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_read.max.pct_of_peak_sustained_frame
,,,dram__cycles_active_read.max.pct_of_peak_sustained_region
,,,dram__cycles_active_read.max.peak_sustained
,,,dram__cycles_active_read.max.peak_sustained_active
,,,dram__cycles_active_read.max.peak_sustained_active.per_second
,,,dram__cycles_active_read.max.peak_sustained_elapsed
,,,dram__cycles_active_read.max.peak_sustained_elapsed.per_second
,,,dram__cycles_active_read.max.peak_sustained_frame
,,,dram__cycles_active_read.max.peak_sustained_frame.per_second
,,,dram__cycles_active_read.max.peak_sustained_region
,,,dram__cycles_active_read.max.peak_sustained_region.per_second
,,,dram__cycles_active_read.max.per_cycle_active
,,,dram__cycles_active_read.max.per_cycle_elapsed
,,,dram__cycles_active_read.max.per_cycle_in_frame
,,,dram__cycles_active_read.max.per_cycle_in_region
,,,dram__cycles_active_read.max.per_second
,,,dram__cycles_active_read.min
,,,dram__cycles_active_read.min.pct_of_peak_sustained_active
,,,dram__cycles_active_read.min.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_read.min.pct_of_peak_sustained_frame
,,,dram__cycles_active_read.min.pct_of_peak_sustained_region
,,,dram__cycles_active_read.min.peak_sustained
,,,dram__cycles_active_read.min.peak_sustained_active
,,,dram__cycles_active_read.min.peak_sustained_active.per_second
,,,dram__cycles_active_read.min.peak_sustained_elapsed
,,,dram__cycles_active_read.min.peak_sustained_elapsed.per_second
,,,dram__cycles_active_read.min.peak_sustained_frame
,,,dram__cycles_active_read.min.peak_sustained_frame.per_second
,,,dram__cycles_active_read.min.peak_sustained_region
,,,dram__cycles_active_read.min.peak_sustained_region.per_second
,,,dram__cycles_active_read.min.per_cycle_active
,,,dram__cycles_active_read.min.per_cycle_elapsed
,,,dram__cycles_active_read.min.per_cycle_in_frame
,,,dram__cycles_active_read.min.per_cycle_in_region
,,,dram__cycles_active_read.min.per_second
,,,dram__cycles_active_read.sum
,,,dram__cycles_active_read.sum.pct_of_peak_sustained_active
,,,dram__cycles_active_read.sum.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_read.sum.pct_of_peak_sustained_frame
,,,dram__cycles_active_read.sum.pct_of_peak_sustained_region
,,,dram__cycles_active_read.sum.peak_sustained
,,,dram__cycles_active_read.sum.peak_sustained_active
,,,dram__cycles_active_read.sum.peak_sustained_active.per_second
,,,dram__cycles_active_read.sum.peak_sustained_elapsed
,,,dram__cycles_active_read.sum.peak_sustained_elapsed.per_second
,,,dram__cycles_active_read.sum.peak_sustained_frame
,,,dram__cycles_active_read.sum.peak_sustained_frame.per_second
,,,dram__cycles_active_read.sum.peak_sustained_region
,,,dram__cycles_active_read.sum.peak_sustained_region.per_second
,,,dram__cycles_active_read.sum.per_cycle_active
,,,dram__cycles_active_read.sum.per_cycle_elapsed
,,,dram__cycles_active_read.sum.per_cycle_in_frame
,,,dram__cycles_active_read.sum.per_cycle_in_region
,,,dram__cycles_active_read.sum.per_second
,,,dram__cycles_active_write.avg
,,,dram__cycles_active_write.avg.pct_of_peak_sustained_active
,,,dram__cycles_active_write.avg.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_write.avg.pct_of_peak_sustained_frame
